Reference	Description	Manufacturer	ManufacturerPartNumber	Supplier	SupplierPartNumber	Qty
R19	RES 0.1 OHM 1% 1W 2512	Vishay Dale	WSL2512R1000FEA	Digi-Key	WSLG-.10CT-ND	1
R277	RES SMD 10 OHM 1% 1W 2512	Vishay Dale	CRCW251210R0FKEG	Digi-Key	541-10.0AFTR-ND	1
D2, D3	DIODE SCHOTTKY 20V 500MA SOD123	ON Semiconductor	SBR80520LT1G	Digi-Key	SBR80520LT1GOSTR-ND	2
D100, D101	DIODE SCHOTTKY 30V 2A SOD123L	STMicroelectronics	STPS2H100ZFY	Digi-Key	497-17158-1-ND	2
D1	DIODE ARRAY GP 75V 215MA SOT143B	Nexperia USA Inc.	BAS28	Digi-Key	1727-6375-2-ND	1
U1	IC REG CONV PWR SUPPLIES SOT23-5	Texas Instruments	SN6501DBVR	Digi-Key	296-37700-1-ND	1
U3	IC REG LINEAR 5V 150MA SOT23-5	Texas Instruments	TPS76350DBVR	Digi-Key	296-11023-1-ND	1
U5, U16	IC REG LINEAR 5V 150MA SOT23-5	Texas Instruments	TPS7B6950QDBVRQ1	Digi-Key	296-42411-2-ND	2
XW1	SWITCH SLIDE 4 POS DIP SPST 100MA 6V	Copal Electronics Inc.	CHS-04TB	Digi-Key	563-1008-1-ND	1
J2	TERM BLOCK HDR 32POS 90DEG 3.5MM	Phoenix Contact	1787153	Digi-Key	277-8749-ND	1
U23, U29	IC REG LINEAR 5V 100MA TSOT23-8	Analog Devices Inc.	LT3060ETS8-5#TRMPBF	Digi-Key	LT3060ETS8-5#TRMPBFTR-ND	2
